county,fips,cand,st,pct_report,votes,total_votes,lead,pct,state.name
NA,US,Donald Trump,US,1,62984825,135691978,Donald Trump,0.4641750081939258,NA
NA,US,Hillary Clinton,US,1,65853516,135691978,Donald Trump,0.48531620638620215,NA
NA,US,Gary Johnson,US,1,4489221,135691978,Donald Trump,0.03308390861543783,NA
NA,US,Jill Stein,US,1,1429596,135691978,Donald Trump,0.010535597026966473,NA
NA,US,Evan McMullin,US,1,510002,135691978,Donald Trump,0.003758527272702886,NA
NA,US,Darrell Castle,US,1,186545,135691978,Donald Trump,0.0013747680795101976,NA
NA,US,Gloria La Riva,US,1,74117,135691978,Donald Trump,5.462150459624076e-4,NA
NA,US,Rocky De La Fuente,US,1,33010,135691978,Donald Trump,2.4327156613488234e-4,NA
NA,US, None of these candidates,US,1,28863,135691978,Donald Trump,2.1270970049533806e-4,NA
NA,US,Richard Duncan,US,1,24235,135691978,Donald Trump,1.7860304166249238e-4,NA
NA,US,Dan Vacek,US,1,13537,135691978,Donald Trump,9.976271404931543e-5,NA
NA,US,Alyson Kennedy,US,1,12465,135691978,Donald Trump,9.186246809667702e-5,NA
NA,US,Mike Smith,US,1,9095,135691978,Donald Trump,6.702680684631187e-5,NA
NA,US,Chris Keniston,US,1,6909,135691978,Donald Trump,5.0916790379457804e-5,NA
NA,US,Lynn Kahn,US,1,5637,135691978,Donald Trump,4.15426179431182e-5,NA
NA,US,Jim Hedges,US,1,5609,135691978,Donald Trump,4.133626823540003e-5,NA
NA,US,Monica Moorehead,US,1,4063,135691978,Donald Trump,2.994281651638979e-5,NA
NA,US,Peter Skewes,US,1,3246,135691978,Donald Trump,2.3921826830470407e-5,NA
NA,US,Rocky Giordani,US,1,2752,135691978,Donald Trump,2.028122841572845e-5,NA
NA,US,Emidio Soltysik,US,1,2480,135691978,Donald Trump,1.8276688397894826e-5,NA
NA,US,Scott Copeland,US,1,2356,135691978,Donald Trump,1.7362853978000085e-5,NA
NA,US,Tom Hoefling,US,1,2291,135691978,Donald Trump,1.6883827870797195e-5,NA
NA,US,Laurence Kotlikoff,US,1,1440,135691978,Donald Trump,1.0612270682648609e-5,NA
NA,US,Kyle Kopitke,US,1,1096,135691978,Donald Trump,8.077117130682553e-6,NA
NA,US,Joseph Maldonado,US,1,872,135691978,Donald Trump,6.426319468937213e-6,NA
NA,US,Michael Maturen,US,1,862,135691978,Donald Trump,6.3526231447521535e-6,NA
NA,US,Rod Silva,US,1,751,135691978,Donald Trump,5.53459394629799e-6,NA
NA,US,Princess Jacob,US,1,749,135691978,Donald Trump,5.519854681460978e-6,NA
