county,fips,st,pct_report,total_votes,lead,state.name, None of these candidates,Alyson Kennedy,Bradford Lyttle,Chris Keniston,Dan Vacek,Darrell Castle,Donald Trump,Emidio Soltysik,Evan McMullin,Frank Atwood,Gary Johnson,Gloria La Riva,Hillary Clinton,Jerry White,Jill Stein,Jim Hedges,Joseph Maldonado,Kyle Kopitke,Laurence Kotlikoff,Lynn Kahn,Michael Maturen,Mike Smith,Monica Moorehead,Peter Skewes,Princess Jacob,Richard Duncan,Rocky De La Fuente,Rocky Giordani,Rod Silva,Ryan Scott,Scott Copeland,Tom Hoefling
NA,US,US,1,135691978,Donald Trump,NA,2.1270970049533806e-4,9.186246809667702e-5,2.8151995838692837e-6,5.0916790379457804e-5,9.976271404931543e-5,0.0013747680795101976,0.4641750081939258,1.8276688397894826e-5,0.003758527272702886,2.483566125036515e-6,0.03308390861543783,5.462150459624076e-4,0.48531620638620215,2.726763994847212e-6,0.010535597026966473,4.133626823540003e-5,6.426319468937213e-6,8.077117130682553e-6,1.0612270682648609e-5,4.15426179431182e-5,6.3526231447521535e-6,6.702680684631187e-5,2.994281651638979e-5,2.3921826830470407e-5,5.519854681460978e-6,1.7860304166249238e-4,2.4327156613488234e-4,2.028122841572845e-5,5.53459394629799e-6,5.519854681460978e-6,1.7362853978000085e-5,1.6883827870797195e-5
NA,CA,CA,1,14060856,Hillary Clinton,California,NA,NA,NA,NA,NA,NA,0.3188859910093667,NA,NA,NA,0.03403064507594701,0.004701065141411021,0.6225643730367483,NA,0.019817925736526992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,FL,FL,1,9419886,Donald Trump,Florida,NA,NA,NA,NA,NA,0.0017489595946277906,0.4902273764247253,NA,NA,NA,0.021979353041002833,NA,0.47824092563328263,NA,0.006836494624244922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.668906821165352e-4,NA,NA,NA,NA,NA
NA,TX,TX,1,8917965,Donald Trump,Texas,NA,NA,NA,NA,NA,NA,0.5253493369843905,NA,NA,NA,0.031788866630447644,NA,0.43483776848193506,NA,0.008024027903226802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NY,NY,1,7660190,Hillary Clinton,New York,NA,NA,NA,NA,NA,NA,0.3680762487614537,NA,NA,NA,0.023053997355156987,NA,0.5947795028582842,NA,0.014090251025105121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PA,PA,1,6115402,Donald Trump,Pennsylvania,NA,NA,NA,NA,NA,0.003527486827521723,0.4857788580374602,NA,NA,NA,0.023991063874459928,NA,0.4785361616456285,NA,0.008166429614929648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,IL,IL,1,5523142,Hillary Clinton,Illinois,NA,NA,NA,NA,NA,NA,0.3885496697350892,NA,NA,NA,0.03794868935109762,NA,0.5595961501623532,NA,0.013905490751459948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OH,OH,1,5480173,Donald Trump,Ohio,NA,NA,NA,NA,NA,NA,0.5184152033156617,NA,NA,NA,0.0318416955085177,NA,0.4368774489418491,NA,0.00844334658778108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0044223056461903665,NA,NA,NA,NA,NA,NA
NA,MI,MI,1,4790329,Donald Trump,Michigan,NA,NA,NA,NA,NA,0.0033690796602905563,0.4758635575969834,4.6113742918283903e-4,NA,NA,0.035934066324045805,NA,0.4736290555408616,NA,0.010743103448635783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NC,NC,1,4682073,Donald Trump,North Carolina,NA,NA,NA,NA,NA,NA,0.504612166448494,NA,NA,NA,0.02779239025107041,NA,0.4675954433004355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,GA,GA,1,4092373,Donald Trump,Georgia,NA,NA,NA,NA,NA,NA,0.5104871916611706,NA,NA,NA,0.030619398573883662,NA,0.4588934097649457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,VA,VA,1,3950882,Hillary Clinton,Virginia,NA,NA,NA,NA,NA,NA,0.44786024993912754,NA,0.013681502003856354,NA,0.029936100344176313,NA,0.501526747698362,NA,0.00699540001447778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NJ,NJ,1,3874046,Hillary Clinton,New Jersey,NA,5.565241094194545e-4,NA,NA,NA,0.0015903270121211776,0.4135038665002945,NA,NA,NA,0.01870834781001568,4.341714063281644e-4,0.554530844496942,NA,0.009750013293595377,NA,NA,NA,NA,NA,NA,NA,4.5146598672292485e-4,NA,NA,NA,4.744393845607409e-4,NA,NA,NA,NA,NA
Los Angeles County,6037,CA,1,3421533,Hillary Clinton,California,NA,NA,NA,NA,NA,NA,0.22497021072133455,NA,NA,NA,0.026002379635093394,0.006427820512033641,0.7202514194660697,NA,0.022348169665468667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MA,MA,1,3271768,Hillary Clinton,Massachusetts,NA,NA,NA,NA,NA,NA,0.33342614757525596,NA,NA,NA,0.04218453142154334,NA,0.609821967816789,NA,0.01456735318641175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,WA,WA,1,3209214,Hillary Clinton,Washington,NA,0.0013420731680716836,NA,NA,NA,0.005491375769892565,0.3806997601281809,NA,NA,NA,0.050130343442350685,0.0010977765895325148,0.5430357713757948,NA,0.018202899526176815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,WI,WI,1,2941000,Donald Trump,Wisconsin,NA,NA,NA,NA,NA,0.004135328119687181,0.4778252295137708,NA,NA,NA,0.036271336280176814,NA,0.4700904454267256,NA,0.01056511390683441,NA,NA,NA,NA,NA,NA,NA,6.0183611016661e-4,NA,NA,NA,5.107106426385583e-4,NA,NA,NA,NA,NA
NA,MN,MN,1,2917550,Hillary Clinton,Minnesota,NA,5.730835804013642e-4,NA,NA,0.003870027934397011,0.003241075559973265,0.45344587067916575,NA,0.018191976144367707,NA,0.03872153005089887,NA,0.4687892238350671,NA,0.012676732189679697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.904800260492536e-4,NA,NA,NA,NA,NA
NA,MO,MO,1,2801449,Donald Trump,Missouri,NA,NA,NA,NA,NA,0.0046732958551092664,0.5691736669130868,NA,NA,NA,0.03475308670620097,NA,0.38232643178583653,NA,0.009073518739766457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CO,CO,1,2780220,Hillary Clinton,Colorado,NA,1.6257706224687255e-4,1.3739919862456928e-4,0.0018084899756134407,NA,0.004207940378818943,0.4325139737143104,9.747430059491695e-5,0.010400975462373481,1.212134291530886e-4,0.05183798404442814,1.9099207976347197e-4,0.48156980382847403,NA,0.013825164915006726,6.654149671608722e-5,3.1364424398069217e-4,3.9421340757206266e-4,1.4099603628489832e-4,NA,3.1004740632036313e-4,6.542647704138522e-4,NA,NA,NA,NA,4.5140312637129436e-4,NA,2.701225082907108e-4,2.69403140758645e-4,NA,2.5537547388336176e-4
NA,MD,MD,1,2736647,Hillary Clinton,Maryland,NA,NA,NA,NA,NA,NA,0.34464401144904694,NA,NA,NA,0.02908851598324519,NA,0.6131327862161251,NA,0.013134686351582794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,IN,IN,1,2724405,Donald Trump,Indiana,NA,NA,NA,NA,NA,NA,0.5716059102813275,NA,NA,NA,0.0491824820465386,NA,0.3792116076721339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AZ,AZ,1,2554240,Donald Trump,Arizona,NA,NA,NA,NA,NA,NA,0.49032236594838385,NA,NA,NA,0.04162764657980456,NA,0.4546037177399148,NA,0.013446269731896767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,TN,TN,1,2494238,Donald Trump,Tennessee,NA,0.0011534584911303573,NA,NA,NA,NA,0.6105772584653109,NA,NA,NA,0.028223850330241138,NA,0.3490825654969574,NA,0.006411978327649567,NA,NA,NA,NA,NA,NA,0.002917123385980007,NA,NA,NA,NA,0.0016337655027306938,NA,NA,NA,NA,NA
Cook County,17031,IL,1,2156395,Hillary Clinton,Illinois,NA,NA,NA,NA,NA,NA,0.21020592238434982,NA,NA,NA,0.02721115565561968,NA,0.7475188914832394,NA,0.015064030476791127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SC,SC,1,2103027,Donald Trump,South Carolina,NA,NA,NA,NA,NA,0.002741286726228432,0.5493933268569543,NA,0.009993214542656847,NA,0.023396751444465524,NA,0.4067341978966509,NA,0.006197733077131202,NA,NA,NA,NA,NA,NA,NA,NA,0.0015434894559128343,NA,NA,NA,NA,NA,NA,NA,NA
NA,AL,AL,1,2101660,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,0.6272446542257073,NA,NA,NA,0.02115803698029177,NA,0.34712893617426227,NA,0.004468372619738683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,LA,LA,1,2029032,Donald Trump,Louisiana,NA,2.3656600783033486e-4,NA,9.270430431851248e-4,NA,0.0015421146635439954,0.580886846535688,NA,0.0042123534769289,NA,0.018717299677875953,2.198092489423528e-4,0.3844956609851397,1.8235296436921645e-4,0.006915120116390476,NA,NA,NA,5.165024504295645e-4,NA,NA,NA,NA,NA,3.691415413852517e-4,NA,NA,NA,NA,NA,NA,7.791892882911655e-4
NA,OR,OR,1,1928742,Hillary Clinton,Oregon,NA,NA,NA,NA,NA,NA,0.4056545665516694,NA,NA,NA,0.048856197459276565,NA,0.5195645659191328,NA,0.025924670069921222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,KY,KY,1,1923398,Donald Trump,Kentucky,NA,NA,NA,NA,NA,NA,0.6254404964547119,NA,0.011843622588772579,NA,0.027946374073384708,NA,0.3269494925127301,NA,0.007233552286110311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.864620842904068e-4,NA,NA,NA,NA,NA
NA,CT,CT,1,1642304,Hillary Clinton,Connecticut,NA,NA,NA,NA,NA,NA,0.40992106211761037,NA,NA,NA,0.029638848836756167,NA,0.5465321889248276,NA,0.013907900120805892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,IA,IA,1,1548285,Donald Trump,Iowa,NA,NA,NA,NA,0.0014506373180648265,0.0034457480373445456,0.5173356326516113,NA,0.007986901636326645,NA,0.03822681224709921,2.0861792241092563e-4,0.42218906725828903,NA,0.0074140096945975705,NA,NA,NA,NA,0.0014512831939856034,NA,NA,NA,NA,NA,NA,2.9129004027036363e-4,NA,NA,NA,NA,NA
Maricopa County,4013,AZ,1,1536743,Donald Trump,Arizona,NA,NA,NA,NA,NA,NA,0.486327902583581,NA,NA,NA,0.04362668318645343,NA,0.45740048921647924,NA,0.012644925013486314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OK,OK,1,1452992,Donald Trump,Oklahoma,NA,NA,NA,NA,NA,NA,0.6532286481962736,NA,NA,NA,0.05745454895828745,NA,0.2893168028454389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harris County,48201,TX,1,1305434,Hillary Clinton,Texas,NA,NA,NA,NA,NA,NA,0.4182172365665365,NA,NA,NA,0.030473390458652064,NA,0.542282489961193,NA,0.00902688301361846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Diego County,6073,CA,1,1291078,Hillary Clinton,California,NA,NA,NA,NA,NA,NA,0.37005200305481156,NA,NA,NA,0.040015397985249536,0.00259705455441112,0.5696603923233143,NA,0.017675152082213468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
