county,fips,st,pct_report,total_votes,lead,state.name, None of these candidates,Alyson Kennedy,Bradford Lyttle,Chris Keniston,Dan Vacek,Darrell Castle,Donald Trump,Emidio Soltysik,Evan McMullin,Frank Atwood,Gary Johnson,Gloria La Riva,Hillary Clinton,Jerry White,Jill Stein,Jim Hedges,Joseph Maldonado,Kyle Kopitke,Laurence Kotlikoff,Lynn Kahn,Michael Maturen,Mike Smith,Monica Moorehead,Peter Skewes,Princess Jacob,Richard Duncan,Rocky De La Fuente,Rocky Giordani,Rod Silva,Ryan Scott,Scott Copeland,Tom Hoefling
NA,US,US,1,135691978,Donald Trump,NA,28863,12465,382,6909,13537,186545,62984825,2480,510002,337,4489221,74117,65853516,370,1429596,5609,872,1096,1440,5637,862,9095,4063,3246,749,24235,33010,2752,751,749,2356,2291
NA,CA,CA,1,14060856,Hillary Clinton,California,NA,NA,NA,NA,NA,NA,4483810,NA,NA,NA,478500,66101,8753788,NA,278657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,FL,FL,1,9419886,Donald Trump,Florida,NA,NA,NA,NA,NA,16475,4617886,NA,NA,NA,207043,NA,4504975,NA,64399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9108,NA,NA,NA,NA,NA
NA,TX,TX,1,8917965,Donald Trump,Texas,NA,NA,NA,NA,NA,NA,4685047,NA,NA,NA,283492,NA,3877868,NA,71558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NY,NY,1,7660190,Hillary Clinton,New York,NA,NA,NA,NA,NA,NA,2819534,NA,NA,NA,176598,NA,4556124,NA,107934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PA,PA,1,6115402,Donald Trump,Pennsylvania,NA,NA,NA,NA,NA,21572,2970733,NA,NA,NA,146715,NA,2926441,NA,49941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,IL,IL,1,5523142,Hillary Clinton,Illinois,NA,NA,NA,NA,NA,NA,2146015,NA,NA,NA,209596,NA,3090729,NA,76802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OH,OH,1,5480173,Donald Trump,Ohio,NA,NA,NA,NA,NA,NA,2841005,NA,NA,NA,174498,NA,2394164,NA,46271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24235,NA,NA,NA,NA,NA,NA
NA,MI,MI,1,4790329,Donald Trump,Michigan,NA,NA,NA,NA,NA,16139,2279543,2209,NA,NA,172136,NA,2268839,NA,51463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NC,NC,1,4682073,Donald Trump,North Carolina,NA,NA,NA,NA,NA,NA,2362631,NA,NA,NA,130126,NA,2189316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,GA,GA,1,4092373,Donald Trump,Georgia,NA,NA,NA,NA,NA,NA,2089104,NA,NA,NA,125306,NA,1877963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,VA,VA,1,3950882,Hillary Clinton,Virginia,NA,NA,NA,NA,NA,NA,1769443,NA,54054,NA,118274,NA,1981473,NA,27638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NJ,NJ,1,3874046,Hillary Clinton,New Jersey,NA,2156,NA,NA,NA,6161,1601933,NA,NA,NA,72477,1682,2148278,NA,37772,NA,NA,NA,NA,NA,NA,NA,1749,NA,NA,NA,1838,NA,NA,NA,NA,NA
Los Angeles County,6037,CA,1,3421533,Hillary Clinton,California,NA,NA,NA,NA,NA,NA,769743,NA,NA,NA,88968,21993,2464364,NA,76465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MA,MA,1,3271768,Hillary Clinton,Massachusetts,NA,NA,NA,NA,NA,NA,1090893,NA,NA,NA,138018,NA,1995196,NA,47661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,WA,WA,1,3209214,Hillary Clinton,Washington,NA,4307,NA,NA,NA,17623,1221747,NA,NA,NA,160879,3523,1742718,NA,58417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,WI,WI,1,2941000,Donald Trump,Wisconsin,NA,NA,NA,NA,NA,12162,1405284,NA,NA,NA,106674,NA,1382536,NA,31072,NA,NA,NA,NA,NA,NA,NA,1770,NA,NA,NA,1502,NA,NA,NA,NA,NA
NA,MN,MN,1,2917550,Hillary Clinton,Minnesota,NA,1672,NA,NA,11291,9456,1322951,NA,53076,NA,112972,NA,1367716,NA,36985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431,NA,NA,NA,NA,NA
NA,MO,MO,1,2801449,Donald Trump,Missouri,NA,NA,NA,NA,NA,13092,1594511,NA,NA,NA,97359,NA,1071068,NA,25419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CO,CO,1,2780220,Hillary Clinton,Colorado,NA,452,382,5028,NA,11699,1202484,271,28917,337,144121,531,1338870,NA,38437,185,872,1096,392,NA,862,1819,NA,NA,NA,NA,1255,NA,751,749,NA,710
NA,MD,MD,1,2736647,Hillary Clinton,Maryland,NA,NA,NA,NA,NA,NA,943169,NA,NA,NA,79605,NA,1677928,NA,35945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,IN,IN,1,2724405,Donald Trump,Indiana,NA,NA,NA,NA,NA,NA,1557286,NA,NA,NA,133993,NA,1033126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AZ,AZ,1,2554240,Donald Trump,Arizona,NA,NA,NA,NA,NA,NA,1252401,NA,NA,NA,106327,NA,1161167,NA,34345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,TN,TN,1,2494238,Donald Trump,Tennessee,NA,2877,NA,NA,NA,NA,1522925,NA,NA,NA,70397,NA,870695,NA,15993,NA,NA,NA,NA,NA,NA,7276,NA,NA,NA,NA,4075,NA,NA,NA,NA,NA
Cook County,17031,IL,1,2156395,Hillary Clinton,Illinois,NA,NA,NA,NA,NA,NA,453287,NA,NA,NA,58678,NA,1611946,NA,32484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SC,SC,1,2103027,Donald Trump,South Carolina,NA,NA,NA,NA,NA,5765,1155389,NA,21016,NA,49204,NA,855373,NA,13034,NA,NA,NA,NA,NA,NA,NA,NA,3246,NA,NA,NA,NA,NA,NA,NA,NA
NA,AL,AL,1,2101660,Donald Trump,Alabama,NA,NA,NA,NA,NA,NA,1318255,NA,NA,NA,44467,NA,729547,NA,9391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,LA,LA,1,2029032,Donald Trump,Louisiana,NA,480,NA,1881,NA,3129,1178638,NA,8547,NA,37978,446,780154,370,14031,NA,NA,NA,1048,NA,NA,NA,NA,NA,749,NA,NA,NA,NA,NA,NA,1581
NA,OR,OR,1,1928742,Hillary Clinton,Oregon,NA,NA,NA,NA,NA,NA,782403,NA,NA,NA,94231,NA,1002106,NA,50002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,KY,KY,1,1923398,Donald Trump,Kentucky,NA,NA,NA,NA,NA,NA,1202971,NA,22780,NA,53752,NA,628854,NA,13913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1128,NA,NA,NA,NA,NA
NA,CT,CT,1,1642304,Hillary Clinton,Connecticut,NA,NA,NA,NA,NA,NA,673215,NA,NA,NA,48676,NA,897572,NA,22841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,IA,IA,1,1548285,Donald Trump,Iowa,NA,NA,NA,NA,2246,5335,800983,NA,12366,NA,59186,323,653669,NA,11479,NA,NA,NA,NA,2247,NA,NA,NA,NA,NA,NA,451,NA,NA,NA,NA,NA
