"county","fips","cand","st","pct_report","votes","total_votes","pct","lead"
NA,"US","Donald Trump","US",0.9951,60350241,127592176,0.472993273506049,"Donald Trump"
NA,"US","Hillary Clinton","US",0.9951,60981118,127592176,0.477937753800829,"Donald Trump"
NA,"US","Gary Johnson","US",0.9951,4164589,127592176,0.0326398461924499,"Donald Trump"
NA,"US","Jill Stein","US",0.9951,1255968,127592176,0.0098436129814104,"Donald Trump"
NA,"US","Evan McMullin","US",0.9951,451636,127592176,0.00353968412608623,"Donald Trump"
NA,"US","Darrell Castle","US",0.9951,180877,127592176,0.00141761827151533,"Donald Trump"
NA,"US","Gloria La Riva","US",0.9951,48308,127592176,0.000378612556932958,"Donald Trump"
NA,"US","Rocky De La Fuente","US",0.9951,32120,127592176,0.000251739573749412,"Donald Trump"
NA,"US"," None of these candidates","US",0.9951,28824,127592176,0.000225907268796795,"Donald Trump"
NA,"US","Richard Duncan","US",0.9951,23501,127592176,0.000184188409797165,"Donald Trump"
NA,"US","Dan Vacek","US",0.9951,13546,127592176,0.000106166384371405,"Donald Trump"
NA,"US","Alyson Kennedy","US",0.9951,11456,127592176,8.97860696411354e-05,"Donald Trump"
NA,"US","Mike Smith","US",0.9951,8911,127592176,6.98397055317875e-05,"Donald Trump"
NA,"US","Chris Keniston","US",0.9951,6617,127592176,5.18605466843045e-05,"Donald Trump"
NA,"US","Lynn Kahn","US",0.9951,5565,127592176,4.36155270210299e-05,"Donald Trump"
NA,"US","Jim Hedges","US",0.9951,5525,127592176,4.33020281745175e-05,"Donald Trump"
NA,"US","Monica Moorehead","US",0.9951,3878,127592176,3.03937131693718e-05,"Donald Trump"
NA,"US","Peter Skewes","US",0.9951,3221,127592176,2.52444946154065e-05,"Donald Trump"
NA,"US","Emidio Soltysik","US",0.9951,2471,127592176,1.93663912433001e-05,"Donald Trump"
NA,"US","Scott Copeland","US",0.9951,2347,127592176,1.83945448191118e-05,"Donald Trump"
NA,"US","Tom Hoefling","US",0.9951,2222,127592176,1.74148609237607e-05,"Donald Trump"
NA,"US","Rocky Giordani","US",0.9951,2185,127592176,1.71248744907368e-05,"Donald Trump"
NA,"US","Laurence Kotlikoff","US",0.9951,1407,127592176,1.10273219260717e-05,"Donald Trump"
NA,"US","Kyle Kopitke","US",0.9951,1001,127592176,7.84530863397141e-06,"Donald Trump"
NA,"US","Joseph Maldonado","US",0.9951,780,127592176,6.11322750699071e-06,"Donald Trump"
NA,"US","Michael Maturen","US",0.9951,757,127592176,5.93296567024611e-06,"Donald Trump"
NA,"US","Princess Jacob","US",0.9951,748,127592176,5.86242842978084e-06,"Donald Trump"
NA,"US","Ryan Scott","US",0.9951,687,127592176,5.38434268884951e-06,"Donald Trump"
NA,"US","Rod Silva","US",0.9951,654,127592176,5.12570614047683e-06,"Donald Trump"
NA,"US","Jerry White","US",0.9951,369,127592176,2.89202685907637e-06,"Donald Trump"
NA,"US","Bradford Lyttle","US",0.9951,337,127592176,2.6412277818665e-06,"Donald Trump"
NA,"US","Frank Atwood","US",0.9951,310,127592176,2.42961606047067e-06,"Donald Trump"
NA,"CA","Hillary Clinton","CA",1,5931283,9631972,0.615791138097162,"Hillary Clinton"
NA,"CA","Donald Trump","CA",1,3184721,9631972,0.330640599868853,"Hillary Clinton"
NA,"CA","Gary Johnson","CA",1,308392,9631972,0.0320175349346946,"Hillary Clinton"
NA,"CA","Jill Stein","CA",1,166311,9631972,0.0172665576685646,"Hillary Clinton"
NA,"CA","Gloria La Riva","CA",1,41265,9631972,0.00428416943072509,"Hillary Clinton"
NA,"FL","Donald Trump","FL",1,4605515,9386750,0.490639997869337,"Donald Trump"
NA,"FL","Hillary Clinton","FL",1,4485745,9386750,0.477880523077743,"Donald Trump"
NA,"FL","Gary Johnson","FL",1,206007,9386750,0.0219465736277199,"Donald Trump"
NA,"FL","Jill Stein","FL",1,64019,9386750,0.0068201454177431,"Donald Trump"
NA,"FL","Darrell Castle","FL",1,16393,9386750,0.00174639784803047,"Donald Trump"
NA,"FL","Rocky De La Fuente","FL",1,9071,9386750,0.000966362159426852,"Donald Trump"
NA,"TX","Donald Trump","TX",0.9996,4681590,8903237,0.525830099771577,"Donald Trump"
NA,"TX","Hillary Clinton","TX",0.9996,3867816,8903237,0.434428062512545,"Donald Trump"
NA,"TX","Gary Johnson","TX",0.9996,282524,8903237,0.0317327282200844,"Donald Trump"
NA,"TX","Jill Stein","TX",0.9996,71307,8903237,0.0080091094957935,"Donald Trump"
NA,"NY","Hillary Clinton","NY",0.9966,4143874,7046175,0.588102623054352,"Hillary Clinton"
NA,"NY","Donald Trump","NY",0.9966,2640570,7046175,0.374752259204462,"Hillary Clinton"
NA,"NY","Gary Johnson","NY",0.9966,161836,7046175,0.0229679223124603,"Hillary Clinton"
NA,"NY","Jill Stein","NY",0.9966,99895,7046175,0.0141771954287255,"Hillary Clinton"
NA,"PA","Donald Trump","PA",0.9976,2912941,5970107,0.487921070761378,"Donald Trump"
NA,"PA","Hillary Clinton","PA",0.9976,2844705,5970107,0.476491459868307,"Donald Trump"
NA,"PA","Gary Johnson","PA",0.9976,142653,5970107,0.0238945466136537,"Donald Trump"
NA,"PA","Jill Stein","PA",0.9976,48912,5970107,0.00819281798466929,"Donald Trump"
NA,"PA","Darrell Castle","PA",0.9976,20896,5970107,0.00350010477199152,"Donald Trump"
NA,"IL","Hillary Clinton","IL",0.9908,2977498,5374280,0.5540273301726,"Hillary Clinton"
NA,"IL","Donald Trump","IL",0.9908,2118179,5374280,0.394132609391398,"Hillary Clinton"
NA,"IL","Gary Johnson","IL",0.9908,204491,5374280,0.0380499341307115,"Hillary Clinton"
NA,"IL","Jill Stein","IL",0.9908,74112,5374280,0.0137901263052911,"Hillary Clinton"
NA,"OH","Donald Trump","OH",1,2771984,5325395,0.520521764113272,"Donald Trump"
NA,"OH","Hillary Clinton","OH",1,2317001,5325395,0.435085284753525,"Donald Trump"
NA,"OH","Gary Johnson","OH",1,168599,5325395,0.0316594355911627,"Donald Trump"
NA,"OH","Jill Stein","OH",1,44310,5325395,0.0083205095584459,"Donald Trump"
NA,"OH","Richard Duncan","OH",1,23501,5325395,0.0044130059835937,"Donald Trump"
NA,"MI","Donald Trump","MI",1,2279210,4789450,0.475881364248505,"Donald Trump"
NA,"MI","Hillary Clinton","MI",1,2267373,4789450,0.473409890488469,"Donald Trump"
NA,"MI","Gary Johnson","MI",1,173021,4789450,0.0361254423785612,"Donald Trump"
NA,"MI","Jill Stein","MI",1,50686,4789450,0.010582843541534,"Donald Trump"
NA,"MI","Darrell Castle","MI",1,16924,4789450,0.00353359989142803,"Donald Trump"
NA,"MI","Emidio Soltysik","MI",1,2236,4789450,0.000466859451502782,"Donald Trump"
NA,"NC","Donald Trump","NC",1,2339603,4629471,0.505371564051271,"Donald Trump"
NA,"NC","Hillary Clinton","NC",1,2162074,4629471,0.46702398610986,"Donald Trump"
NA,"NC","Gary Johnson","NC",1,127794,4629471,0.0276044498388693,"Donald Trump"
NA,"GA","Donald Trump","GA",1,2068623,4029564,0.513361495189058,"Donald Trump"
NA,"GA","Hillary Clinton","GA",1,1837300,4029564,0.455955036326511,"Donald Trump"
NA,"GA","Gary Johnson","GA",1,123641,4029564,0.0306834684844316,"Donald Trump"
NA,"VA","Hillary Clinton","VA",0.9988,1916845,3844787,0.498556877142999,"Hillary Clinton"
NA,"VA","Donald Trump","VA",0.9988,1731156,3844787,0.450260573602647,"Hillary Clinton"
NA,"VA","Gary Johnson","VA",0.9988,116600,3844787,0.0303267775301987,"Hillary Clinton"
NA,"VA","Evan McMullin","VA",0.9988,52914,3844787,0.0137625309282413,"Hillary Clinton"
NA,"VA","Jill Stein","VA",0.9988,27272,3844787,0.00709324079591405,"Hillary Clinton"
NA,"NJ","Hillary Clinton","NJ",0.9926,2021756,3674893,0.550153705155497,"Hillary Clinton"
NA,"NJ","Donald Trump","NJ",0.9926,1535513,3674893,0.417838832314301,"Hillary Clinton"
NA,"NJ","Gary Johnson","NJ",0.9926,68695,3674893,0.0186930612673621,"Hillary Clinton"
NA,"NJ","Jill Stein","NJ",0.9926,35949,3674893,0.00978232563505931,"Hillary Clinton"
NA,"NJ","Darrell Castle","NJ",0.9926,5830,3674893,0.00158644074807076,"Hillary Clinton"
NA,"NJ","Alyson Kennedy","NJ",0.9926,2090,3674893,0.000568724041761216,"Hillary Clinton"
NA,"NJ","Rocky De La Fuente","NJ",0.9926,1765,3674893,0.000480286092683515,"Hillary Clinton"
NA,"NJ","Monica Moorehead","NJ",0.9926,1682,3674893,0.000457700401072902,"Hillary Clinton"
NA,"NJ","Gloria La Riva","NJ",0.9926,1613,3674893,0.00043892434419179,"Hillary Clinton"
NA,"MA","Hillary Clinton","MA",1,1964768,3231531,0.607999118683992,"Hillary Clinton"
NA,"MA","Donald Trump","MA",1,1083069,3231531,0.335156617714637,"Hillary Clinton"
NA,"MA","Gary Johnson","MA",1,136784,3231531,0.042327924442006,"Hillary Clinton"
NA,"MA","Jill Stein","MA",1,46910,3231531,0.0145163391593644,"Hillary Clinton"
NA,"WI","Donald Trump","WI",1,1409467,2944620,0.478658366784169,"Donald Trump"
NA,"WI","Hillary Clinton","WI",1,1382210,2944620,0.469401824344058,"Donald Trump"
NA,"WI","Gary Johnson","WI",1,106442,2944620,0.0361479579708078,"Donald Trump"
NA,"WI","Jill Stein","WI",1,30980,2944620,0.0105208821511774,"Donald Trump"
NA,"WI","Darrell Castle","WI",1,12179,2944620,0.0041360175506517,"Donald Trump"
NA,"WI","Monica Moorehead","WI",1,1781,2944620,0.000604831862854969,"Donald Trump"
NA,"WI","Rocky De La Fuente","WI",1,1561,2944620,0.000530119336281082,"Donald Trump"
NA,"MN","Hillary Clinton","MN",1,1366676,2916404,0.468616830864311,"Hillary Clinton"
NA,"MN","Donald Trump","MN",1,1322891,2916404,0.45360347880472,"Hillary Clinton"
NA,"MN","Gary Johnson","MN",1,112944,2916404,0.0387271447988687,"Hillary Clinton"
NA,"MN","Evan McMullin","MN",1,53080,2916404,0.018200496227546,"Hillary Clinton"
NA,"MN","Jill Stein","MN",1,36957,2916404,0.01267211264283,"Hillary Clinton"
NA,"MN","Dan Vacek","MN",1,11290,2916404,0.00387120577258843,"Hillary Clinton"
NA,"MN","Darrell Castle","MN",1,9466,2916404,0.00324577801978052,"Hillary Clinton"
NA,"MN","Alyson Kennedy","MN",1,1670,2916404,0.000572622997362505,"Hillary Clinton"
NA,"MN","Rocky De La Fuente","MN",1,1430,2916404,0.000490329871993043,"Hillary Clinton"
NA,"MO","Donald Trump","MO",0.9997,1585753,2775098,0.571422342562317,"Donald Trump"
NA,"MO","Hillary Clinton","MO",0.9997,1054889,2775098,0.380126755883936,"Donald Trump"
NA,"MO","Gary Johnson","MO",0.9997,96404,2775098,0.0347389533630884,"Donald Trump"
NA,"MO","Jill Stein","MO",0.9997,25086,2775098,0.00903968076082358,"Donald Trump"
NA,"MO","Darrell Castle","MO",0.9997,12966,2775098,0.00467226742983491,"Donald Trump"
NA,"WA","Hillary Clinton","WA",0.831,1523720,2765627,0.55094920609323,"Hillary Clinton"
NA,"WA","Donald Trump","WA",0.831,1043648,2765627,0.377363975691588,"Hillary Clinton"
NA,"WA","Gary Johnson","WA",0.831,131779,2765627,0.0476488694968627,"Hillary Clinton"
NA,"WA","Jill Stein","WA",0.831,46016,2765627,0.0166385416399247,"Hillary Clinton"
NA,"WA","Darrell Castle","WA",0.831,14216,2765627,0.00514024487033139,"Hillary Clinton"
NA,"WA","Alyson Kennedy","WA",0.831,3527,2765627,0.00127529851277848,"Hillary Clinton"
NA,"WA","Gloria La Riva","WA",0.831,2721,2765627,0.000983863695285011,"Hillary Clinton"
NA,"IN","Donald Trump","IN",1,1556220,2722029,0.571713233033153,"Donald Trump"
NA,"IN","Hillary Clinton","IN",1,1031953,2722029,0.379111684702845,"Donald Trump"
NA,"IN","Gary Johnson","IN",1,133856,2722029,0.0491750822640023,"Donald Trump"
NA,"CO","Hillary Clinton","CO",1,1212209,2564185,0.472746311206095,"Hillary Clinton"
NA,"CO","Donald Trump","CO",1,1137455,2564185,0.44359318847899,"Hillary Clinton"
NA,"CO","Gary Johnson","CO",1,129451,2564185,0.0504842669308182,"Hillary Clinton"
NA,"CO","Jill Stein","CO",1,33147,2564185,0.0129269143997021,"Hillary Clinton"
NA,"CO","Evan McMullin","CO",1,26779,2564185,0.0104434742423031,"Hillary Clinton"
NA,"CO","Darrell Castle","CO",1,10895,2564185,0.00424891339743427,"Hillary Clinton"
NA,"CO","Chris Keniston","CO",1,4737,2564185,0.00184737060703498,"Hillary Clinton"
NA,"CO","Mike Smith","CO",1,1667,2564185,0.000650109098992467,"Hillary Clinton"
NA,"CO","Rocky De La Fuente","CO",1,1063,2564185,0.000414556672002995,"Hillary Clinton"
NA,"CO","Kyle Kopitke","CO",1,1001,2564185,0.000390377449365003,"Hillary Clinton"
NA,"CO","Joseph Maldonado","CO",1,780,2564185,0.000304190220284418,"Hillary Clinton"
NA,"CO","Michael Maturen","CO",1,757,2564185,0.000295220508660647,"Hillary Clinton"
NA,"CO","Ryan Scott","CO",1,687,2564185,0.00026792138632743,"Hillary Clinton"
NA,"CO","Rod Silva","CO",1,654,2564185,0.000255051800084627,"Hillary Clinton"
NA,"CO","Tom Hoefling","CO",1,641,2564185,0.000249981963079887,"Hillary Clinton"
NA,"CO","Gloria La Riva","CO",1,446,2564185,0.000173934408008783,"Hillary Clinton"
NA,"CO","Alyson Kennedy","CO",1,410,2564185,0.000159894859380271,"Hillary Clinton"
NA,"CO","Laurence Kotlikoff","CO",1,361,2564185,0.000140785473747019,"Hillary Clinton"
NA,"CO","Bradford Lyttle","CO",1,337,2564185,0.000131425774661345,"Hillary Clinton"
NA,"CO","Frank Atwood","CO",1,310,2564185,0.000120896113189961,"Hillary Clinton"
NA,"CO","Emidio Soltysik","CO",1,235,2564185,9.16470535472285e-05,"Hillary Clinton"
NA,"CO","Jim Hedges","CO",1,163,2564185,6.35679562902053e-05,"Hillary Clinton"
NA,"TN","Donald Trump","TN",1,1517402,2484691,0.610700485492965,"Donald Trump"
NA,"TN","Hillary Clinton","TN",1,867110,2484691,0.348981020175145,"Donald Trump"
NA,"TN","Gary Johnson","TN",1,70084,2484691,0.0282063242471599,"Donald Trump"
NA,"TN","Jill Stein","TN",1,15919,2484691,0.00640683288183521,"Donald Trump"
NA,"TN","Mike Smith","TN",1,7244,2484691,0.00291545306840971,"Donald Trump"
NA,"TN","Rocky De La Fuente","TN",1,4064,2484691,0.00163561585726354,"Donald Trump"
NA,"TN","Alyson Kennedy","TN",1,2868,2484691,0.0011542682772224,"Donald Trump"
NA,"MD","Hillary Clinton","MD",0.999,1497951,2474543,0.605344501994914,"Hillary Clinton"
NA,"MD","Donald Trump","MD",0.999,873646,2474543,0.353053472903886,"Hillary Clinton"
NA,"MD","Gary Johnson","MD",0.999,71107,2474543,0.0287354069013955,"Hillary Clinton"
NA,"MD","Jill Stein","MD",0.999,31839,2474543,0.012866618199805,"Hillary Clinton"
"Los Angeles County","6037","Hillary Clinton","CA",1,1654626,2314275,0.714965161875749,"Hillary Clinton"
"Los Angeles County","6037","Donald Trump","CA",1,542591,2314275,0.234453986669691,"Hillary Clinton"
"Los Angeles County","6037","Gary Johnson","CA",1,56905,2314275,0.0245886940834603,"Hillary Clinton"
"Los Angeles County","6037","Jill Stein","CA",1,46682,2314275,0.0201713279536788,"Hillary Clinton"
"Los Angeles County","6037","Gloria La Riva","CA",1,13471,2314275,0.00582082941742014,"Hillary Clinton"
NA,"SC","Donald Trump","SC",1,1143611,2084444,0.548640788622769,"Donald Trump"
NA,"SC","Hillary Clinton","SC",1,849469,2084444,0.407527858747944,"Donald Trump"
NA,"SC","Gary Johnson","SC",1,48715,2084444,0.0233707405907762,"Donald Trump"
NA,"SC","Evan McMullin","SC",1,20795,2084444,0.00997628144483613,"Donald Trump"
NA,"SC","Jill Stein","SC",1,12917,2084444,0.00619685633195231,"Donald Trump"
NA,"SC","Darrell Castle","SC",1,5716,2084444,0.00274221806870321,"Donald Trump"
NA,"SC","Peter Skewes","SC",1,3221,2084444,0.00154525619301838,"Donald Trump"
NA,"AL","Donald Trump","AL",1,1306925,2078165,0.628884135764003,"Donald Trump"
NA,"AL","Hillary Clinton","AL",1,718084,2078165,0.345537529503191,"Donald Trump"
NA,"AL","Gary Johnson","AL",1,43869,2078165,0.0211094884188695,"Donald Trump"
NA,"AL","Jill Stein","AL",1,9287,2078165,0.00446884631393561,"Donald Trump"
NA,"AZ","Donald Trump","AZ",1,1021154,2062810,0.495030565102942,"Donald Trump"
NA,"AZ","Hillary Clinton","AZ",1,936250,2062810,0.453871175726315,"Donald Trump"
NA,"AZ","Gary Johnson","AZ",1,80151,2062810,0.0388552508471454,"Donald Trump"
NA,"AZ","Jill Stein","AZ",1,25255,2062810,0.0122430083235974,"Donald Trump"
"Cook County","17031","Hillary Clinton","IL",0.9746,1528582,2055215,0.743757709047472,"Hillary Clinton"
"Cook County","17031","Donald Trump","IL",0.9746,440213,2055215,0.21419316227256,"Hillary Clinton"
"Cook County","17031","Gary Johnson","IL",0.9746,55900,2055215,0.0271991008240014,"Hillary Clinton"
"Cook County","17031","Jill Stein","IL",0.9746,30520,2055215,0.0148500278559664,"Hillary Clinton"
NA,"LA","Donald Trump","LA",1,1178004,2027731,0.580946881021201,"Donald Trump"
NA,"LA","Hillary Clinton","LA",1,779535,2027731,0.384437087562403,"Donald Trump"
NA,"LA","Gary Johnson","LA",1,37950,2027731,0.0187155002315396,"Donald Trump"
NA,"LA","Jill Stein","LA",1,14018,2027731,0.00691314577722587,"Donald Trump"
NA,"LA","Evan McMullin","LA",1,8546,2027731,0.00421456297704183,"Donald Trump"
NA,"LA","Darrell Castle","LA",1,3128,2027731,0.00154261092817538,"Donald Trump"
NA,"LA","Chris Keniston","LA",1,1880,2027731,0.000927144675501829,"Donald Trump"
NA,"LA","Tom Hoefling","LA",1,1581,2027731,0.000779689219132124,"Donald Trump"
NA,"LA","Laurence Kotlikoff","LA",1,1046,2027731,0.000515847516263252,"Donald Trump"
NA,"LA","Princess Jacob","LA",1,748,2027731,0.000368885221954983,"Donald Trump"
NA,"LA","Alyson Kennedy","LA",1,480,2027731,0.000236717789489829,"Donald Trump"
NA,"LA","Gloria La Riva","LA",1,446,2027731,0.000219950279400966,"Donald Trump"
NA,"LA","Jerry White","LA",1,369,2027731,0.000181976800670306,"Donald Trump"
NA,"KY","Donald Trump","KY",1,1202942,1923346,0.625442328109451,"Donald Trump"
NA,"KY","Hillary Clinton","KY",1,628834,1923346,0.326947933445152,"Donald Trump"
NA,"KY","Gary Johnson","KY",1,53749,1923346,0.0279455698558658,"Donald Trump"
NA,"KY","Evan McMullin","KY",1,22780,1923346,0.0118439427955241,"Donald Trump"
NA,"KY","Jill Stein","KY",1,13913,1923346,0.00723374785400027,"Donald Trump"
NA,"KY","Rocky De La Fuente","KY",1,1128,1923346,0.000586477940006634,"Donald Trump"
NA,"OR","Hillary Clinton","OR",0.9911,934631,1808575,0.516777573504002,"Hillary Clinton"
NA,"OR","Donald Trump","OR",0.9911,742506,1808575,0.410547530514355,"Hillary Clinton"
NA,"OR","Gary Johnson","OR",0.9911,86306,1808575,0.0477204428901207,"Hillary Clinton"
