county,fips,cand,st,pct_report,votes,total_votes,lead,pct,state.name
NA,US,Donald Trump,US,0.9968,61195258,130180957,Donald Trump,0.47007841553968605,NA
NA,US,Hillary Clinton,US,0.9968,62521739,130180957,Donald Trump,0.4802679319679606,NA
NA,US,Gary Johnson,US,0.9968,4274900,130180957,Donald Trump,0.03283813622602268,NA
NA,US,Jill Stein,US,0.9968,1316040,130180957,Donald Trump,0.010109312685418344,NA
NA,US,Evan McMullin,US,0.9968,469770,130180957,Donald Trump,0.0036085923073986927,NA
NA,US,Darrell Castle,US,0.9968,182963,130180957,Donald Trump,0.0014054513364808033,NA
NA,US,Gloria La Riva,US,0.9968,60261,130180957,Donald Trump,4.62901805215643e-4,NA
NA,US,Rocky De La Fuente,US,0.9968,32188,130180957,Donald Trump,2.472558255966731e-4,NA
NA,US, None of these candidates,US,0.9968,28824,130180957,Donald Trump,2.2141487253008902e-4,NA
NA,US,Richard Duncan,US,0.9968,23501,130180957,Donald Trump,1.8052563555820227e-4,NA
NA,US,Dan Vacek,US,0.9968,13546,130180957,Donald Trump,1.0405515762186324e-4,NA
NA,US,Alyson Kennedy,US,0.9968,11821,130180957,Donald Trump,9.080437164093056e-5,NA
NA,US,Mike Smith,US,0.9968,8911,130180957,Donald Trump,6.845087181222674e-5,NA
NA,US,Chris Keniston,US,0.9968,6617,130180957,Donald Trump,5.0829246861351616e-5,NA
NA,US,Lynn Kahn,US,0.9968,5565,130180957,Donald Trump,4.274818781674804e-5,NA
NA,US,Jim Hedges,US,0.9968,5525,130180957,Donald Trump,4.244092321429163e-5,NA
NA,US,Monica Moorehead,US,0.9968,3913,130180957,Donald Trump,3.0058159735298304e-5,NA
NA,US,Peter Skewes,US,0.9968,3221,130180957,Donald Trump,2.4742482112802413e-5,NA
NA,US,Emidio Soltysik,US,0.9968,2471,130180957,Donald Trump,1.8981270816744725e-5,NA
NA,US,Scott Copeland,US,0.9968,2347,130180957,Donald Trump,1.8028750549129856e-5,NA
NA,US,Rocky Giordani,US,0.9968,2304,130180957,Donald Trump,1.7698441101489213e-5,NA
NA,US,Tom Hoefling,US,0.9968,2222,130180957,Donald Trump,1.7068548666453572e-5,NA
NA,US,Laurence Kotlikoff,US,0.9968,1407,130180957,Donald Trump,1.0808032391404221e-5,NA
NA,US,Kyle Kopitke,US,0.9968,1001,130180957,Donald Trump,7.689296676471659e-6,NA
NA,US,Joseph Maldonado,US,0.9968,780,130180957,Donald Trump,5.991659747899994e-6,NA
NA,US,Michael Maturen,US,0.9968,757,130180957,Donald Trump,5.814982601487558e-6,NA
NA,US,Princess Jacob,US,0.9968,748,130180957,Donald Trump,5.745848065934866e-6,NA
NA,US,Ryan Scott,US,0.9968,687,130180957,Donald Trump,5.277269547188841e-6,NA
NA,US,Rod Silva,US,0.9968,654,130180957,Donald Trump,5.023776250162303e-6,NA
NA,US,Jerry White,US,0.9968,369,130180957,Donald Trump,2.834515957660382e-6,NA
NA,US,Bradford Lyttle,US,0.9968,337,130180957,Donald Trump,2.5887042756952538e-6,NA
NA,US,Frank Atwood,US,0.9968,310,130180957,Donald Trump,2.3813006690371773e-6,NA
NA,CA,Hillary Clinton,CA,1.0,7362490,11954317,Hillary Clinton,0.615885457947953,California
NA,CA,Donald Trump,CA,1.0,3916209,11954317,Hillary Clinton,0.3275978878592562,California
NA,CA,Gary Johnson,CA,1.0,402406,11954317,Hillary Clinton,0.03366198169247143,California
NA,CA,Jill Stein,CA,1.0,220312,11954317,Hillary Clinton,0.018429492876924712,California
NA,CA,Gloria La Riva,CA,1.0,52900,11954317,Hillary Clinton,0.004425179623394628,California
NA,FL,Donald Trump,FL,1.0,4605515,9386750,Donald Trump,0.4906399978693371,Florida
NA,FL,Hillary Clinton,FL,1.0,4485745,9386750,Donald Trump,0.47788052307774254,Florida
NA,FL,Gary Johnson,FL,1.0,206007,9386750,Donald Trump,0.021946573627719925,Florida
NA,FL,Jill Stein,FL,1.0,64019,9386750,Donald Trump,0.006820145417743095,Florida
NA,FL,Darrell Castle,FL,1.0,16393,9386750,Donald Trump,0.0017463978480304686,Florida
NA,FL,Rocky De La Fuente,FL,1.0,9071,9386750,Donald Trump,9.663621594268517e-4,Florida
NA,TX,Donald Trump,TX,0.9995999999999999,4681590,8903237,Donald Trump,0.5258300997715775,Texas
NA,TX,Hillary Clinton,TX,0.9995999999999999,3867816,8903237,Donald Trump,0.4344280625125446,Texas
NA,TX,Gary Johnson,TX,0.9995999999999999,282524,8903237,Donald Trump,0.031732728220084445,Texas
NA,TX,Jill Stein,TX,0.9995999999999999,71307,8903237,Donald Trump,0.008009109495793497,Texas
NA,NY,Hillary Clinton,NY,0.9965999999999999,4143874,7046175,Hillary Clinton,0.5881026230543522,New York
NA,NY,Donald Trump,NY,0.9965999999999999,2640570,7046175,Hillary Clinton,0.374752259204462,New York
NA,NY,Gary Johnson,NY,0.9965999999999999,161836,7046175,Hillary Clinton,0.022967922312460306,New York
NA,NY,Jill Stein,NY,0.9965999999999999,99895,7046175,Hillary Clinton,0.014177195428725513,New York
NA,PA,Donald Trump,PA,0.9976,2912941,5970107,Donald Trump,0.4879210707613783,Pennsylvania
NA,PA,Hillary Clinton,PA,0.9976,2844705,5970107,Donald Trump,0.4764914598683072,Pennsylvania
NA,PA,Gary Johnson,PA,0.9976,142653,5970107,Donald Trump,0.02389454661365366,Pennsylvania
NA,PA,Jill Stein,PA,0.9976,48912,5970107,Donald Trump,0.008192817984669287,Pennsylvania
NA,PA,Darrell Castle,PA,0.9976,20896,5970107,Donald Trump,0.0035001047719915236,Pennsylvania
NA,IL,Hillary Clinton,IL,0.9908,2977498,5374280,Hillary Clinton,0.5540273301725999,Illinois
NA,IL,Donald Trump,IL,0.9908,2118179,5374280,Hillary Clinton,0.39413260939139755,Illinois
NA,IL,Gary Johnson,IL,0.9908,204491,5374280,Hillary Clinton,0.03804993413071146,Illinois
NA,IL,Jill Stein,IL,0.9908,74112,5374280,Hillary Clinton,0.013790126305291127,Illinois
NA,OH,Donald Trump,OH,1.0,2771984,5325395,Donald Trump,0.5205217641132723,Ohio
NA,OH,Hillary Clinton,OH,1.0,2317001,5325395,Donald Trump,0.4350852847535253,Ohio
NA,OH,Gary Johnson,OH,1.0,168599,5325395,Donald Trump,0.03165943559116272,Ohio
NA,OH,Jill Stein,OH,1.0,44310,5325395,Donald Trump,0.0083205095584459,Ohio
NA,OH,Richard Duncan,OH,1.0,23501,5325395,Donald Trump,0.004413005983593705,Ohio
NA,MI,Donald Trump,MI,1.0,2279805,4790917,Donald Trump,0.4758598406108893,Michigan
NA,MI,Hillary Clinton,MI,1.0,2268193,4790917,Donald Trump,0.47343608749640204,Michigan
NA,MI,Gary Johnson,MI,1.0,173057,4790917,Donald Trump,0.03612189482723245,Michigan
NA,MI,Jill Stein,MI,1.0,50700,4790917,Donald Trump,0.010582525224294221,Michigan
