county,fips,st,pct_report,total_votes,lead,state.name, None of these candidates,Alyson Kennedy,Bradford Lyttle,Chris Keniston,Dan Vacek,Darrell Castle,Donald Trump,Emidio Soltysik,Evan McMullin,Frank Atwood,Gary Johnson,Gloria La Riva,Hillary Clinton,Jerry White,Jill Stein,Jim Hedges,Joseph Maldonado,Kyle Kopitke,Laurence Kotlikoff,Lynn Kahn,Michael Maturen,Mike Smith,Monica Moorehead,Peter Skewes,Princess Jacob,Richard Duncan,Rocky De La Fuente,Rocky Giordani,Rod Silva,Ryan Scott,Scott Copeland,Tom Hoefling
NA,US,US,0.9968,130180957,Donald Trump,NA,28824,11821,337,6617,13546,182963,61195258,2471,469770,310,4274900,60261,62521739,369,1316040,5525,780,1001,1407,5565,757,8911,3913,3221,748,23501,32188,2304,654,687,2347,2222
NA,CA,CA,1.0,11954317,Hillary Clinton,California,NA,NA,NA,NA,NA,NA,3916209,NA,NA,NA,402406,52900,7362490,NA,220312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,FL,FL,1.0,9386750,Donald Trump,Florida,NA,NA,NA,NA,NA,16393,4605515,NA,NA,NA,206007,NA,4485745,NA,64019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9071,NA,NA,NA,NA,NA
NA,TX,TX,0.9995999999999999,8903237,Donald Trump,Texas,NA,NA,NA,NA,NA,NA,4681590,NA,NA,NA,282524,NA,3867816,NA,71307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NY,NY,0.9965999999999999,7046175,Hillary Clinton,New York,NA,NA,NA,NA,NA,NA,2640570,NA,NA,NA,161836,NA,4143874,NA,99895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PA,PA,0.9976,5970107,Donald Trump,Pennsylvania,NA,NA,NA,NA,NA,20896,2912941,NA,NA,NA,142653,NA,2844705,NA,48912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,IL,IL,0.9908,5374280,Hillary Clinton,Illinois,NA,NA,NA,NA,NA,NA,2118179,NA,NA,NA,204491,NA,2977498,NA,74112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OH,OH,1.0,5325395,Donald Trump,Ohio,NA,NA,NA,NA,NA,NA,2771984,NA,NA,NA,168599,NA,2317001,NA,44310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23501,NA,NA,NA,NA,NA,NA
NA,MI,MI,1.0,4790917,Donald Trump,Michigan,NA,NA,NA,NA,NA,16926,2279805,2236,NA,NA,173057,NA,2268193,NA,50700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NC,NC,1.0,4629471,Donald Trump,North Carolina,NA,NA,NA,NA,NA,NA,2339603,NA,NA,NA,127794,NA,2162074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
